"state","adj"
"Alabama",0
"Arkansas",0
"Colorado",0
"Connecticut",0
"Delaware",0
"Georgia",0
"Idaho",0
"Illinois",0
"Indiana",0
"Iowa",0
"Kansas",0
"Kentucky",0
"Louisiana",0
"Maine",0
"Minnesota",0
"Mississippi",0
"Missouri",0
"Montana",0
"Nebraska",0
"Nevada",1
"New Hampshire",0
"New Mexico",0
"North Carolina",0
"North Dakota",0
"Ohio",0
"Oklahoma",0
"Pennsylvania",0
"Rhode Island",0
"South Carolina",0
"South Dakota",0
"Tennessee",0
"Texas",0
"Utah",0
"Vermont",0
"Virginia",0
"West Virginia",0
"Wisconsin",0
"Wyoming",0
